process_order,row_id,population,kind,file,line,label,in_param_manifest_hint,verdict,assumes,publishes,consumers,edges,flag,reason,source
115,literal|src/composing/analysis/function/functionresolver.h|272#0,dormant_resolver,literal,src/composing/analysis/function/functionresolver.h,272,8 in <file-scope>,no,ESTABLISHED,a hard slice-count cap exists on the forward decision-context span (only the existence of a cap is fixed; K precision-phase).,the K forward-extension bound (default 8) in the dormant bounded-context loop.,isCutDecision()/resolveCarriedReadingsExtending() roundCap; dormant (default enableForwardExtension=false).,"std::max(1, K) guards K<=0; K=8 default caps the append loop.","in_param_manifest_hint says 'no' but maxForwardExtendSlices IS recorded in param_manifest.json (line 393, value 8); its recorded site 'functionresolver.h:258' is stale vs the actual declaration line 272 (systematic ~14-line drift: wLicensedOut manifest:197 vs 211, decidingMargin :200 vs 214).",Structural context-window bound recorded (manifest status 'frozen') -> ESTABLISHED; but the manifest site line numbers for functionresolver.h have drifted stale (a #10 doc-sync gap) and the row's manifest hint is wrong.,blind-reader:g1a_resolver
116,branch|tools/batch_analyze.cpp|1799#0,harness,branch,tools/batch_analyze.cpp,1799,if in writeDiagnosticJson,,SURVIVES,diag.hasWinner distinguishes a real winner from none.,final_winner object or JSON null.,the --diagnose-measures JSON.,proper null-guard — emits null when no winner rather than reading a stale identity.,none,Correct presence guard; no silent-failure emission.,blind-reader:g4_harness
117,io|tools/stage5_fit_driver.py|239#1,instrument_grading_fitting,io,tools/stage5_fit_driver.py,239,read_text in split_scores_file,,SURVIVES,"tools/stage5_split_registry.json is the ratified, committed fitting/held-out split.",reads the split; writes a {which}_split.txt stem-list to scratch.,fit (objective on fitting split) and evaluate --split (held-out/full decision surface).,committed registry is the single source of the split; scratch txt is regenerable.,none,Reads the ratified split artifact; correct provenance chain.,blind-reader:g3_grading
118,function|tools/music21_batch.py|386#0,instrument_grading_fitting,function,tools/music21_batch.py,386,process_chorale(),,SURVIVES,output_dir writable; music21 score parseable (or pre-loaded score passed in).,PUBLISHED — exports {stem}.xml (or MXL-copy fallback) and writes {stem}.music21.json (the corroboration analysis).,"compare_analyses, oracle_root_metric, characterise_bir_false, c1_reliability, calibration_fit, analyze_inversion_errors all read .music21.json.",MusicXML-export failure falls back to copying the original MXL (documented); analysis uses the in-memory score regardless; failures return None and are logged.,none,"Producer of the widely-consumed music21 corroboration artifact; robust fallbacks, explicit None on failure.",blind-reader:g3_grading
119,literal|tools/batch_analyze.cpp|2506#0,harness,literal,tools/batch_analyze.cpp,2506,6 in runKeyModeDecode,no,ESTABLISHED,6 sig digits suffice for a key-mode alternative's emission score.,keyModeRunnerUp.confidence in the --decode-keymode JSON.,the held-out key harness.,"precision 6 matches the other confidence/emission fields in this dump (2489, 2500, 2522).",none,Consistent precision across the decode-keymode dump.,blind-reader:g4_harness
120,branch|tools/batch_analyze.cpp|3149#0,harness,branch,tools/batch_analyze.cpp,3149,if in runFullSpine,,SURVIVES,tpc>=0 marks a valid tonal-pitch-class.,builds noteTpcs for the fullspine slice context.,the L5 cadence/relational spine in runFullSpine.,filters invalid TPCs; same valid-TPC guard as 1293.,none,Correct valid-TPC guard.,blind-reader:g4_harness
121,literal|tools/calibration_fit.py|163#0,instrument_grading_fitting,literal,tools/calibration_fit.py,163,2 in fit_isotonic,no,ESTABLISHED,"fit_pairs elements are (conf, correct, weight) tuples; index 2 = sample weight (duration).",the sample_weight vector passed to IsotonicRegression.fit.,iso.fit(sample_weight=w).,none.,none,"Structural tuple index (p[2] = weight), not a magic number.",blind-reader:g3_grading
122,literal|tools/a8_rebaseline_measure.py|84#0,instrument_core,literal,tools/a8_rebaseline_measure.py,84,12 in _t_invariant,no,ESTABLISHED,(p+k) % 12 wraps in the chromatic octave.,none.,_t_invariant only.,12 = chromatic modulus; structural.,none,"Derivable structural constant, not a tuned param.",blind-reader:g2b_core2
123,branch|tools/compare_rn.py|520#0,instrument_core,branch,tools/compare_rn.py,520,if in score_piece,,SURVIVES,an empty ours or dcml region list is unscoreable.,nothing,score_piece early-out (returns None).,Prevents a spurious 0/0 piece; caller (score_corpus) skips None. No silent corruption.,none,Empty-input guard.,blind-reader:g2a_core1
124,branch|tools/batch_analyze.cpp|1293#0,harness,branch,tools/batch_analyze.cpp,1293,if in writeL5Json,,SURVIVES,tpc>=0 marks a valid tonal-pitch-class (INVALID_TPC is negative).,builds noteTpcs fed to classifyRelationalLabel (dormant L5).,RelationalLabelInput in writeL5Json.,filters invalid TPCs so only real spellings enter the L5 input; no silent bad value.,none,Correct valid-TPC guard.,blind-reader:g4_harness
125,literal|tools/oracle_root_metric.py|365#0,instrument_grading_fitting,literal,tools/oracle_root_metric.py,365,100 in format_report,no,ESTABLISHED,percent = 100 * count / total.,the KEY-aggregate %charged figure in the text report.,format_report stdout.,"this specific line (100*key_rec/rec) is NOT guarded for rec==0 whereas the tier loop below IS (`pct if rec else 0.0`); on the real WiR-covered corpus rec>0 always, and an empty corpus would loudly ZeroDivisionError, never silently mislead.",none,Structural percent multiplier; the unguarded-division inconsistency crashes rather than silently produces a wrong number (not a silent-failure defect).,blind-reader:g3_grading
126,branch|tools/run_bach_preset.py|66#0,instrument_core,branch,tools/run_bach_preset.py,66,for in _detect_music21_version,,SURVIVES,the first *.xml carrying a <software>music21 v.X</software> tag is representative of the corpus's music21 provenance.,music21_version into the corpus manifest (informational only).,_write_manifest -> manifest['music21_version']; explicitly NOT enforced by validate_corpus_dir.,Best-effort provenance copy-through; documented non-load-bearing (None means version unreadable). No gate depends on it.,none,"Informational provenance loop; nullable-by-design, not enforced.",blind-reader:g2b_core2
127,branch|src/composing/analysis/function/functionresolver.cpp|404#0,dormant_resolver,branch,src/composing/analysis/function/functionresolver.cpp,404,if in attemptFineGrainOverride,,SURVIVES,"the nearest committed slice strictly before i is the harmony the commit progresses OUT of (not prevailingHarmonyIndex(i), which returns i for a committed slice).",prevIdx (the previous-neighbour index for the override candidate pool + plausibility).,internal to attemptFineGrainOverride().,no committed slice before i -> prevIdx=-1 -> hasPrev false.,none,"Deliberate neighbour (not prevailing) search, correctly justified in-comment; scans on the working prog so it reflects prior overrides.",blind-reader:g1a_resolver
128,literal|tools/batch_analyze.cpp|1839#0,harness,literal,tools/batch_analyze.cpp,1839,5 in writeDiagnosticJson,no,ESTABLISHED,5 significant digits suffice for the per-cell score/bonus breakdown.,w_complete bonus in oracle_top of the diagnose JSON.,measure-diagnostic triage.,"precision 5 is consistent with the neighboring score fields (vertical_score, basis_indep, etc all 5).",none,Consistent diagnostic precision across the score block.,blind-reader:g4_harness
129,branch|tools/dcml_parser.py|576#0,instrument_core,branch,tools/dcml_parser.py,576,for in parse_rntxt_file,,SURVIVES,rntxt is line-oriented; each line processed independently after header.,the per-line parse driving DcmlRegion emission.,parse_rntxt_file -> score_corpus_wir / grid_score_regions (Bach WiR leg).,Main parse loop; correctness of individual token handling is in the inner branches. No drop — non-measure lines skipped by design.,none,Top-level rntxt line iteration.,blind-reader:g2a_core1
130,function|tools/compare_rn.py|595#0,instrument_core,function,tools/compare_rn.py,595,_active_index_at(),,SURVIVES,"spans are non-overlapping half-open [s,e); first containing span is the active one.",active span index for a tick (grid-cell scoring primitive).,grid_score_regions (l.636-637) — the segmentation-invariant robust-stop unit.,"Guards e>s so (-1,-1) unresolved DCML spans are skipped. Since the grid is the union of both sides' boundaries, each cell samples at its left edge t0 where both sides are piecewise-constant — exact. No off-by-one.",none,Correct half-open point-in-span lookup underpinning the duration-weighted robust metric; establishment via a8_rebaseline_measure byte-identity assertion.,blind-reader:g2a_core1
131,function|src/composing/analysis/function/functionromannumeral.cpp|28#0,dormant_resolver,function,src/composing/analysis/function/functionromannumeral.cpp,28,deriveBaseRomanNumeral(),,SURVIVES,the base RN is a deterministic reading of diatonic degree + key context; §5.1 introduces no judgment.,PUBLISHED - the base Roman numeral (label + degree + diatonicToKey).,grep: only its own unit test (functionromannumeral_tests.cpp). The L5 assembly path emits the base RN via functionrelationallabel::baseNumeral instead (a parallel ~5-line ChordAnalysisResult assembly of the same fact).,"wraps the single shared diatonicDegreeForRootPc + formatRomanNumeral owners; the duplicated part is only the input-struct population, not the formatter.",none,"Faithful wrap of the single owned formatter/degree functions (#6 satisfied at the formatter level). The soft DUPLICATED/SILOED tendency (relational::baseNumeral re-derives the base RN rather than calling this) is a minor dormant-scaffolding overlap the engage step is meant to unify, not a genuine defect.",blind-reader:g1b_cadence
132,branch|tools/compare_rn.py|489#0,instrument_core,branch,tools/compare_rn.py,489,if in score_regions,,SURVIVES,a keyfail within key_disagree counts toward ne_global (S2) AND is tallied separately in kd_keyfail.,kd_ne_global + kd_keyfail split.,format_key_breakdown; the S1/S2 + caveat report.,Matches the documented rule (keyfail lumped into the tonic-fail column but reported separately). kd_eq_global+kd_ne_global==key_disagree invariant preserved; kd_keyfail is a subset of kd_ne_global. No double count of the bucket total.,none,Correct keyfail routing with separate visibility; no information loss.,blind-reader:g2a_core1
133,branch|src/composing/analysis/function/functioncadence.cpp|375#0,dormant_resolver,branch,src/composing/analysis/function/functioncadence.cpp,375,ternary in tryHalf,,SURVIVES,the phrygian flag (b6-hat->5-hat bass descending-semitone) discriminates PhrygianHalf from plain Half.,c.type.,cadenceTonicVote (both types share discountHalf).,phrygian computed just above from bass motion == 11.,none,Correct assignment driven by the locally-computed phrygian bass test.,blind-reader:g1b_cadence
134,branch|tools/analyze_inversion_errors.py|311#0,instrument_grading_fitting,branch,tools/analyze_inversion_errors.py,311,if in main,,SURVIVES,the >=3.0 overflow bin should print only when non-empty.,guards the overflow-bin print line.,stdout histogram.,none.,none,Trivial display guard.,blind-reader:g3_grading
135,literal|tools/calibration_fit.py|174#1,instrument_grading_fitting,literal,tools/calibration_fit.py,174,10000 in fit_platt,no,ESTABLISHED,lbfgs needs enough iterations to converge on the near-unregularized problem.,LogisticRegression max_iter cap.,sklearn solver.,standard sklearn hyperparameter.,none,Standard solver iteration cap (10000); not a tuned inference value.,blind-reader:g3_grading
136,literal|tools/dcml_parser.py|124#3,instrument_core,literal,tools/dcml_parser.py,124,7 in <module-scope>,no,ESTABLISHED,12-TET natural-note pitch classes; 7 = pitch class of G.,part of _NOTE_TO_PC map used to root every DCML annotation.,_key_to_tonic_pc (l.133) -> _compute_root_pc / _resolve_dcml_key.,"Structural music-theory constant, not a tuned parameter (in_param_manifest_hint=no is correct — it belongs to no manifest). Matches _KB_NOTE_* mirrors and standard C=0 chromatic indexing.",none,Derivable structural pitch-class value (G=7); not a magic tuned number.,blind-reader:g2a_core1
137,io|tools/stage5_fit_driver.py|690#0,instrument_grading_fitting,io,tools/stage5_fit_driver.py,690,dumps in main,,SURVIVES,rec is a per-perturbation screen record.,"PUBLISHED — appends the Phase-1b sensitivity screen record (objective_delta, batch_gate, class-b cases) to the screen ledger.",the stage5_screen.jsonl sensitivity ledger (feeds param_manifest sensitivity column / P1b screen).,sort_keys deterministic; run_id/timestamp kept in a separate ledger append for determinism.,none,Deterministic screen-record emission; measurement-only.,blind-reader:g3_grading
138,crosslayer|tools/batch_analyze.cpp|49#0,harness,crosslayer,tools/batch_analyze.cpp,49,include global/iapplication.h -> external,,SURVIVES,the Muse framework IApplication interface is available for the headless IOC bootstrap.,nothing (framework include).,"used in-file at lines 261/266/268 (IApplication::RunMode, registerExport<IApplication>) to register the app stub.",legitimate external framework include for a driver that boots the whole engraving/analysis stack without a UI.,none,Standard harness bootstrap include; actively used.,blind-reader:g4_harness
139,branch|tools/compare_rn.py|372#0,instrument_core,branch,tools/compare_rn.py,372,if in classify_pair,,SURVIVES,root+case agree => same broad quality; full normalised-string equality distinguishes exact from partial.,exact vs partial verdict.,"classify_pair; exact/partial counters, rn_agree numerator.","Compares post-normalise strings (key-prefix/mod-marker/paren-figure stripped, %->ø), so inversion/extension diffs downgrade to partial. Correct.",none,Correct exact-vs-partial discriminator on normalised RN.,blind-reader:g2a_core1
140,branch|tools/dcml_parser.py|579#0,instrument_core,branch,tools/dcml_parser.py,579,if in parse_rntxt_file,,SURVIVES,the header ends at the first line beginning with 'm' (a measure line) that is not 'Note:'.,header/body boundary.,parse_rntxt_file body gate.,"WiR headers use capitalized keys (Composer/Title/Analyst/Movement/Time Signature) — none begin with lowercase 'm', so a 'm<digits>' measure line correctly ends the header. The 'not startswith(Note:)' clause is redundant here (Note: starts with 'N') but harmless-defensive. Edge: a hypothetical lowercase 'm...' header key would end the header early; not observed in the corpus.",none,Header-skip heuristic robust for the WiR rntxt format; redundant Note: guard is harmless.,blind-reader:g2a_core1
141,branch|tools/compare_rn.py|301#0,instrument_core,branch,tools/compare_rn.py,301,if in key_disagree_subtag,,SURVIVES,"unparseable our-key => 'keyfail' subtag (reported separately, not hidden).",keyfail vs eq_global/ne_global subtag.,score_regions (l.486-493); kd_keyfail is folded into S2 but counted separately per docstring (no info loss).,"keyfail is surfaced as the 2.4% caveat in format_key_breakdown, not silently absorbed into S2 — satisfies no-information-loss.",none,"Explicit parse-failure subtag, reported separately; correct.",blind-reader:g2a_core1
142,branch|tools/batch_analyze.cpp|4379#0,harness,branch,tools/batch_analyze.cpp,4379,if in main,,SURVIVES,decodeChords gates the Layer-4 chord-decode diagnostic path.,dispatches runChordDecode; returns before analyzeScore.,the --decode-chords diagnostic; production output untouched.,flag-gated early return keeps the corpus byte-identical.,none,Correct diagnostic dispatch branch.,blind-reader:g4_harness
143,branch|tools/batch_analyze.cpp|1157#0,harness,branch,tools/batch_analyze.cpp,1157,ternary in writeJointKeyJson,,SURVIVES,latticeStates fully enumerated in the loop.,JSON separator in jointKey.latticeStates.,the --dump-joint-key JSON (J-key safety instrument).,"i==0 empty else ', ' — standard inline-array separator.",none,Correct array separator ternary.,blind-reader:g4_harness
144,branch|tools/compare_analyses.py|501#0,instrument_core,branch,tools/compare_analyses.py,501,if in _best_dcml_match_by_overlap,,SURVIVES,a zero/negative-duration ours region has no scoreable overlap.,nothing,_best_dcml_match_by_overlap early-out.,"Returns None (unaligned) for our_dur<=0; a degenerate region cannot yield an overlap fraction, so this drops nothing scoreable. Guards the /our_dur division at l.516.",none,Correct degenerate-input guard; no silent data loss (zero-width region carries no time to score).,blind-reader:g2a_core1
145,branch|tools/compare_analyses.py|110#0,instrument_core,branch,tools/compare_analyses.py,110,ternary in _load_region,,FACT,bassIsRoot in JSON is a bool-or-absent; None means the enriched field was not emitted (batch_analyze <5.0).,"PUBLISHED — bass_is_root, the BIR predicate used in disagree breakdowns.","dcml_direct_summarize (l.771), dcml_anchored_summarize (l.718), bass_is_root_breakdown (l.838).",bool(bir) with explicit None passthrough correctly distinguishes 'False' from 'absent'; downstream None-checks (e.g. l.838) rely on this three-state. Clean.,none,Correct tri-state load of the BIR field; None preserved so absence is not mistaken for False.,blind-reader:g2a_core1
146,literal|src/composing/analysis/function/functionoutput.h|98#0,dormant_resolver,literal,src/composing/analysis/function/functionoutput.h,98,0.0 in <file-scope>,no,ESTABLISHED,none (a struct default zero-init).,the initial combinedBoundary (the U2 squashed confidence) before assembly overwrites it.,assembleFunctionOutput() computes combined/(combined+kBoundary) into it; downstream L6/display reads the boundary form.,"0.0 default; live value in [0,1) since combined>=0 and kBoundary default 1.0 (denominator>=1).",none,"Structural 0.0 field initializer; hint 'no' verified (the tuned param is kBoundary at :108, which IS in manifest).",blind-reader:g1a_resolver
147,function|tools/robust_stop_diff.py|56#0,instrument_core,function,tools/robust_stop_diff.py,56,parse_runs(),,SURVIVES,run-enumeration txt has 2 header lines then one _RUN_RE-matching line per run; stems may carry hyphens.,"the parsed run-identity dict {(stem,start,our_root,dcml_root):(dur,cls)} for the diagnostic set-diff.",main() ref_runs/cand_runs -> added/removed set-diff + class counts.,"Establishment-positive: raises ValueError on ANY unmatched non-header line ('refusing to silently drop them from the diff base'). Regex mirrors a8._write_runs format. Identity key excludes dur (a same-key duration change is caught by the class-(b) duration hard stop, not this diff) — by design.",none,"Fail-loud parser, no silent drops; unification-conformant (diffs a8 output, re-implements nothing).",blind-reader:g2b_core2
